,RM10/0001,RM10/0002,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,PPOILUSDM_1,Electricity_1,PNGASEUUSDM_2,PPOILUSDM_2,Electricity_2,PNGASEUUSDM_3,PPOILUSDM_3,Electricity_3,PNGASEUUSDM_4,PPOILUSDM_4,Electricity_4,PNGASEUUSDM_5,PPOILUSDM_5,Electricity_5,PNGASEUUSDM_6,PPOILUSDM_6,Electricity_6,PNGASEUUSDM_7,PPOILUSDM_7,Electricity_7,PNGASEUUSDM_8,PPOILUSDM_8,Electricity_8,PNGASEUUSDM_9,PPOILUSDM_9,Electricity_9,PNGASEUUSDM_10,PPOILUSDM_10,Electricity_10,PNGASEUUSDM_11,PPOILUSDM_11,Electricity_11,PNGASEUUSDM_12,PPOILUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
97,False,True,2023,2,2023-02-28,anionic surfactant,2.1749625870000004,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,69.9772393267167,926.324432586423,310.12,51.1459125230765,902.891147870967,190.73,32.9126072213829,1322.18462139461,210.12,27.4641664315955,1601.22210374741,239.17,31.989874304408,1613.0743554943,277.19,41.727688313072,1652.71639279719,195.07,26.9842813404776,1458.06977711168,317.22,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003,2.3254169983333335,2.3795844950222227,2.3435256414285712,2.0880044750000004,2.022561439514286,1.9166310208333337,1.9399798925000002
98,False,True,2023,3,2023-03-31,anionic surfactant,2.2676050042857145,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,69.9772393267167,926.324432586423,310.12,51.1459125230765,902.891147870967,190.73,32.9126072213829,1322.18462139461,210.12,27.4641664315955,1601.22210374741,239.17,31.989874304408,1613.0743554943,277.19,41.727688313072,1652.71639279719,195.07,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003,2.3254169983333335,2.3795844950222227,2.3435256414285712,2.0880044750000004,2.022561439514286,1.9166310208333337
99,False,True,2023,4,2023-04-30,anionic surfactant,2.1028415958333335,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,69.9772393267167,926.324432586423,310.12,51.1459125230765,902.891147870967,190.73,32.9126072213829,1322.18462139461,210.12,27.4641664315955,1601.22210374741,239.17,31.989874304408,1613.0743554943,277.19,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003,2.3254169983333335,2.3795844950222227,2.3435256414285712,2.0880044750000004,2.022561439514286
100,False,True,2023,5,2023-05-31,anionic surfactant,1.8864285714285713,13.6839872631252,934.809681844592,124.86,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,69.9772393267167,926.324432586423,310.12,51.1459125230765,902.891147870967,190.73,32.9126072213829,1322.18462139461,210.12,27.4641664315955,1601.22210374741,239.17,2.1028415958333335,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003,2.3254169983333335,2.3795844950222227,2.3435256414285712,2.0880044750000004
101,False,True,2023,6,2023-06-30,anionic surfactant,2.0453269965833334,9.9700489133516,834.628551223305,111.39,13.6839872631252,934.809681844592,124.86,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,69.9772393267167,926.324432586423,310.12,51.1459125230765,902.891147870967,190.73,32.9126072213829,1322.18462139461,210.12,1.8864285714285713,2.1028415958333335,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003,2.3254169983333335,2.3795844950222227,2.3435256414285712
102,False,True,2023,7,2023-07-31,anionic surfactant,1.8628693675,10.2937316953891,769.098476597759,101.31,9.9700489133516,834.628551223305,111.39,13.6839872631252,934.809681844592,124.86,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,69.9772393267167,926.324432586423,310.12,51.1459125230765,902.891147870967,190.73,2.0453269965833334,1.8864285714285713,2.1028415958333335,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003,2.3254169983333335,2.3795844950222227
103,False,True,2023,8,2023-08-31,anionic surfactant,1.91713577748,9.61171913597307,844.977016726366,87.58,10.2937316953891,769.098476597759,101.31,9.9700489133516,834.628551223305,111.39,13.6839872631252,934.809681844592,124.86,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,69.9772393267167,926.324432586423,310.12,1.8628693675,2.0453269965833334,1.8864285714285713,2.1028415958333335,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003,2.3254169983333335
104,False,True,2023,9,2023-09-30,anionic surfactant,1.8188964928333335,10.7174212998315,823.608174534713,96.46,9.61171913597307,844.977016726366,87.58,10.2937316953891,769.098476597759,101.31,9.9700489133516,834.628551223305,111.39,13.6839872631252,934.809681844592,124.86,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,55.1791274012054,794.488878874876,390.53,1.91713577748,1.8628693675,2.0453269965833334,1.8864285714285713,2.1028415958333335,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003,2.3578603086250003
105,False,True,2023,10,2023-10-31,anionic surfactant,1.77165432875,11.4279301571713,790.712155888081,89.17,10.7174212998315,823.608174534713,96.46,9.61171913597307,844.977016726366,87.58,10.2937316953891,769.098476597759,101.31,9.9700489133516,834.628551223305,111.39,13.6839872631252,934.809681844592,124.86,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,20.8066368517553,796.676318197842,501.92,1.8188964928333335,1.91713577748,1.8628693675,2.0453269965833334,1.8864285714285713,2.1028415958333335,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375,2.8438208906840003
106,False,True,2023,11,2023-11-30,anionic surfactant,1.7874315031428571,13.3888428096431,767.48133500497,101.92,11.4279301571713,790.712155888081,89.17,10.7174212998315,823.608174534713,96.46,9.61171913597307,844.977016726366,87.58,10.2937316953891,769.098476597759,101.31,9.9700489133516,834.628551223305,111.39,13.6839872631252,934.809681844592,124.86,13.8704403696801,910.155527014026,146.76,16.7372591811588,902.161131806761,243.88,19.886186930695,903.28692399913,364.42,35.3687312140632,887.10700458863,311.82,28.7908046199839,875.659936221517,443.17,1.77165432875,1.8188964928333335,1.91713577748,1.8628693675,2.0453269965833334,1.8864285714285713,2.1028415958333335,2.2676050042857145,2.1749625870000004,2.5448810411500005,2.366141004,2.27576389375
