,RM04/0001,RM04/0006,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,Electricity_1,PNGASEUUSDM_2,Electricity_2,PNGASEUUSDM_3,Electricity_3,PNGASEUUSDM_4,Electricity_4,PNGASEUUSDM_5,Electricity_5,PNGASEUUSDM_6,Electricity_6,PNGASEUUSDM_7,Electricity_7,PNGASEUUSDM_8,Electricity_8,PNGASEUUSDM_9,Electricity_9,PNGASEUUSDM_10,Electricity_10,PNGASEUUSDM_11,Electricity_11,PNGASEUUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
35,False,True,2017,12,2017-12-31,bleaching agent,0.11898396874494706,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252
36,False,True,2018,1,2018-01-31,bleaching agent,0.12974924922462547,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875
37,False,True,2018,2,2018-02-28,bleaching agent,0.12494537582154727,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333
38,False,True,2018,3,2018-03-31,bleaching agent,0.14503616481447568,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997
39,False,True,2018,4,2018-04-30,bleaching agent,0.13193770016848708,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282
40,False,True,2018,5,2018-05-31,bleaching agent,0.13084835522462548,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665
41,False,True,2018,6,2018-06-30,bleaching agent,0.12875014931447568,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888
42,False,True,2018,7,2018-07-31,bleaching agent,0.14259982119454873,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712
43,False,True,2018,8,2018-08-31,bleaching agent,0.14474743664952333,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083,0.13930255626038066
44,False,True,2018,9,2018-09-30,bleaching agent,0.1416666666666666,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,6.04060639329964,35.6,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904,0.13303922378305083
